code,name,ipo_date,type,inst,codes,url,title,date,url1,filename
152801.SH,21首钢01,2021-04-01,企业债,首钢集团有限公司,152801,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152801&announcementId=1209947119&orgId=9900005500&announcementTime=2021-05-10,21首钢01 : 2021年第一期首钢集团有限公司公司债券募集说明书,2021-05-10,http://static.cninfo.com.cn/finalpage/2021-05-10/1209947119.pdf,[152801.SH]21首钢01 : 2021年第一期首钢集团有限公司公司债券募集说明书.pdf
152796.SH,21句容债,2021-04-01,企业债,句容市城市建设投资有限责任公司,152796,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152796&announcementId=1209947123&orgId=9900035015&announcementTime=2021-05-10,21句容债 : 2021年句容市城市建设投资有限责任公司公司债券募集说明书,2021-05-10,http://static.cninfo.com.cn/finalpage/2021-05-10/1209947123.pdf,[152796.SH]21句容债 : 2021年句容市城市建设投资有限责任公司公司债券募集说明书.pdf
152802.SH,21陆嘴02,2021-04-02,企业债,上海陆家嘴(集团)有限公司,152802,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152802&announcementId=1209939515&orgId=9900005160&announcementTime=2021-05-07,21陆嘴02 : 2021年第二期上海陆家嘴（集团）有限公司公司债券募集说明书,2021-05-07,http://static.cninfo.com.cn/finalpage/2021-05-07/1209939515.pdf,[152802.SH]21陆嘴02 : 2021年第二期上海陆家嘴（集团）有限公司公司债券募集说明书.pdf
152794.SH,G21常鼎1,2021-04-06,企业债,常德市鼎城江南新城建设投资开发有限公司,152794,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152794&announcementId=1209654965&orgId=9900036670&announcementTime=2021-04-06,G21常鼎1 : 2021年第一期常德市鼎城江南新城建设投资开发有限公司绿色债券募集说明书,2021-04-06,http://static.cninfo.com.cn/finalpage/2021-04-06/1209654965.pdf,[152794.SH]G21常鼎1 : 2021年第一期常德市鼎城江南新城建设投资开发有限公司绿色债券募集说明书.pdf
152793.SH,21吉开01,2021-04-07,企业债,吉林经济技术开发区城市建设发展有限责任公司,152793,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152793&announcementId=1210311742&orgId=GD131504&announcementTime=2021-06-22,21吉开01 : 2021年第一期吉林省吉林经济技术开发区城市建设发展有限责任公司城市地下综合管廊建设专项债券募集说明书,2021-06-22,http://static.cninfo.com.cn/finalpage/2021-06-22/1210311742.pdf,[152793.SH]21吉开01 : 2021年第一期吉林省吉林经济技术开发区城市建设发展有限责任公司城市地下综合管廊建设专项债券募集说明书.pdf
152791.SH,21株金01,2021-04-16,企业债,株洲金城投资控股集团有限公司,152791,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152791&announcementId=1209710454&orgId=fzqy1061597&announcementTime=2021-04-15,21株金01 : 2021年第一期株洲金城投资控股集团有限公司公司债券募集说明书,2021-04-15,http://static.cninfo.com.cn/finalpage/2021-04-15/1209710454.pdf,[152791.SH]21株金01 : 2021年第一期株洲金城投资控股集团有限公司公司债券募集说明书.pdf
152808.SH,21彭水债,2021-04-16,企业债,彭水县城市建设投资有限责任公司,152808,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152808&announcementId=1209947682&orgId=fzqy1031858&announcementTime=2021-05-10,21彭水债 : 2021年彭水县城市建设投资有限责任公司城市地下综合管廊建设专项债券募集说明书,2021-05-10,http://static.cninfo.com.cn/finalpage/2021-05-10/1209947682.pdf,[152808.SH]21彭水债 : 2021年彭水县城市建设投资有限责任公司城市地下综合管廊建设专项债券募集说明书.pdf
152733.SH,21当阳债,2021-04-16,企业债,当阳市鑫源投资开发有限责任公司,152733,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152733&announcementId=1209950892&orgId=9900028738&announcementTime=2021-05-10,21当阳债 : 2021年当阳市鑫源投资开发有限责任公司公司债券募集说明书,2021-05-10,http://static.cninfo.com.cn/finalpage/2021-05-10/1209950892.pdf,[152733.SH]21当阳债 : 2021年当阳市鑫源投资开发有限责任公司公司债券募集说明书.pdf
152797.SH,21仪征债,2021-04-16,企业债,仪征市建设发展有限公司,152797,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152797&announcementId=1209749191&orgId=fzqy1060944&announcementTime=2021-04-19,21仪征债 : 2021年仪征市建设发展有限公司城市停车场建设专项债券募集说明书,2021-04-19,http://static.cninfo.com.cn/finalpage/2021-04-19/1209749191.pdf,[152797.SH]21仪征债 : 2021年仪征市建设发展有限公司城市停车场建设专项债券募集说明书.pdf
152778.SH,21临海01,2021-04-16,企业债,临海市国有资产投资控股集团有限公司,152778,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152778&announcementId=1209721995&orgId=fzqy1055679&announcementTime=2021-04-14,21临海01 : 2021年第一期临海市国有资产投资控股集团有限公司社会领域产业专项债券募集说明书,2021-04-14,http://static.cninfo.com.cn/finalpage/2021-04-14/1209721995.pdf,[152778.SH]21临海01 : 2021年第一期临海市国有资产投资控股集团有限公司社会领域产业专项债券募集说明书.pdf
