code,name,ipo_date,type,inst
152407.SH,G20武控,2020/3/20,企业债,武汉三镇实业控股股份有限公司
166017.SH,G20新津1,2020/3/20,公司债,成都市新津环境投资集团有限公司
132000008.IB,20江苏铁路GN001,2020/3/20,中期票据,江苏省铁路集团有限公司
132000011.IB,20津能源GN001,2020/3/20,中期票据,天津能源投资集团有限公司
149052.SZ,20深铁G2,2020/3/23,公司债,深圳市地铁集团有限公司
132000009.IB,20甘肃电投GN001,2020/3/23,中期票据,甘肃电投能源发展股份有限公司
132000010.IB,20贵州水投GN001,2020/3/23,中期票据,贵州省水利投资(集团)有限责任公司
2080053.IB,20德源绿色债01,2020/3/26,企业债,常德市德源投资集团有限公司
166320.SH,G20吴城1,2020/3/26,公司债,苏州市吴中城市建设投资集团有限公司
132000012.IB,20重庆轨交GN002,2020/3/26,中期票据,重庆市轨道交通(集团)有限公司
2080059.IB,20桐乡绿色债,2020/3/30,企业债,桐乡市振东新区建设投资有限公司
082000127.IB,20新苏环保绿色ABN001优先A2,2020/3/30,资产支持证券,新苏环保产业集团有限公司
082000128.IB,20新苏环保绿色ABN001次,2020/3/30,资产支持证券,新苏环保产业集团有限公司
132000013.IB,20川投能源GN001,2020/3/31,定向工具,四川川投能源股份有限公司
152430.SH,G20桐乡,2020/4/1,企业债,桐乡市振东新区建设投资有限公司
152419.SH,G20德源1,2020/4/2,企业债,常德市德源投资集团有限公司
166464.SH,G20江北1,2020/4/3,公司债,南京江北新区公用控股集团有限公司
2080077.IB,20武汉地铁绿色债01,2020/4/8,企业债,武汉地铁集团有限公司
152439.SH,G20武铁1,2020/4/10,企业债,武汉地铁集团有限公司
168098.SH,G远达03,2020/4/13,资产支持证券,"重庆远达烟气治理特许经营有限公司,江西远达环保有限公司"
168099.SH,G远达04,2020/4/13,资产支持证券,"重庆远达烟气治理特许经营有限公司,江西远达环保有限公司"
163395.SH,G20雅砻1,2020/4/14,公司债,雅砻江流域水电开发有限公司
2080076.IB,20兴发绿色债01,2020/4/15,企业债,宜昌兴发集团有限责任公司
132000015.IB,20金融城建GN002,2020/4/20,中期票据,南京金融城建设发展股份有限公司
152450.SH,G20兴发1,2020/4/21,企业债,宜昌兴发集团有限责任公司
2080071.IB,20永兴绿色债,2020/4/21,企业债,长兴县永兴建设开发有限公司
166563.SH,G20邗江,2020/4/22,公司债,扬州市邗江城市建设发展有限公司
152437.SH,G20永兴,2020/4/23,企业债,长兴县永兴建设开发有限公司
2080096.IB,20南京地铁绿色债01,2020/4/23,企业债,南京地铁集团有限公司
166412.SH,G20永荣,2020/4/24,公司债,福建永荣控股集团有限公司
166546.SH,G20莱芜1,2020/4/24,公司债,济南民生实业有限公司
168074.SH,G光谷优5,2020/4/24,资产支持证券,武汉光谷环保科技股份有限公司
168075.SH,G光谷优6,2020/4/24,资产支持证券,武汉光谷环保科技股份有限公司
168076.SH,G光谷优7,2020/4/24,资产支持证券,武汉光谷环保科技股份有限公司
168077.SH,G光谷优8,2020/4/24,资产支持证券,武汉光谷环保科技股份有限公司
168078.SH,G光谷优9,2020/4/24,资产支持证券,武汉光谷环保科技股份有限公司
168079.SH,G光优10,2020/4/24,资产支持证券,武汉光谷环保科技股份有限公司
132000017.IB,20沈阳地铁GN001,2020/4/26,中期票据,沈阳地铁集团有限公司
149087.SZ,20荣盛G1,2020/4/27,公司债,荣盛石化股份有限公司
163431.SH,G20FXY1,2020/4/27,公司债,福建华电福瑞能源发展有限公司
2080074.IB,20奉化绿色债,2020/4/28,企业债,宁波市奉化区投资集团有限公司
2080106.IB,20淮南城投绿色债,2020/4/28,企业债,淮南市城市建设投资有限责任公司
152458.SH,G20宁铁1,2020/4/29,企业债,南京地铁集团有限公司
152464.SH,G20淮南,2020/4/30,企业债,淮南市城市建设投资有限责任公司
2080110.IB,20常州滨江绿色债,2020/4/30,企业债,常州滨江投资发展集团有限公司
132000018.IB,20粤电开GN001,2020/5/6,中期票据,广东省电力开发有限公司
152435.SH,G20奉化,2020/5/7,企业债,宁波市奉化区投资集团有限公司
114732.SZ,20鑫鸿G1,2020/5/8,公司债,泰州东部新城发展集团有限公司
149115.SZ,20北控PG,2020/5/8,公司债,北控清洁能源集团有限公司
2080115.IB,20榆神绿色债,2020/5/9,企业债,陕西榆神能源开发建设集团有限公司
114727.SZ,20四水G1,2020/5/11,公司债,武汉车都四水共治项目管理有限公司
163422.SH,G20八Y1,2020/5/11,公司债,中国水利水电第八工程局有限公司
152470.SH,G20滨江,2020/5/12,企业债,常州滨江投资发展集团有限公司
166583.SH,G20德交1,2020/5/12,公司债,浙江德清交运投资建设有限公司
166777.SH,G20江北2,2020/5/12,公司债,南京江北新区公用控股集团有限公司
166640.SH,G20台高1,2020/5/13,公司债,浙江台州高速公路集团股份有限公司
163478.SH,G20三峡1,2020/5/13,公司债,中国长江三峡集团有限公司
163479.SH,G20三峡2,2020/5/13,公司债,中国长江三峡集团有限公司
168400.SH,PRG顺2A,2020/5/19,资产支持证券,顺泰融资租赁股份有限公司
168401.SH,G顺泰2B,2020/5/19,资产支持证券,顺泰融资租赁股份有限公司
168402.SH,G顺泰2C,2020/5/19,资产支持证券,顺泰融资租赁股份有限公司
132000019.IB,20京能洁能GN001,2020/5/20,中期票据,北京京能清洁能源电力股份有限公司
138656.SZ,20中海1A,2020/5/20,资产支持证券,北京中海广场商业发展有限公司
152468.SH,G20榆神1,2020/5/29,企业债,陕西榆神能源开发建设集团有限公司
2080143.IB,20广铁绿色债03,2020/5/29,企业债,广州地铁集团有限公司
132000021.IB,20雅砻江GN001,2020/5/29,中期票据,雅砻江流域水电开发有限公司
152489.SH,G20广铁3,2020/6/3,企业债,广州地铁集团有限公司
163559.SH,G20FXY3,2020/6/4,公司债,福建华电福瑞能源发展有限公司
082000314.IB,20中再资环绿色ABN001优先,2020/6/5,资产支持证券,中再资源环境股份有限公司
082000315.IB,20中再资环绿色ABN001次,2020/6/5,资产支持证券,中再资源环境股份有限公司
166910.SH,G20生态,2020/6/9,公司债,重庆市长寿生态旅业开发集团有限公司
132000022.IB,20宁波轨交GN002,2020/6/19,中期票据,宁波市轨道交通集团有限公司
2080140.IB,20公安城投绿色债,2020/6/22,企业债,公安县城建投资有限公司
167008.SH,G20新津2,2020/6/23,公司债,成都市新津环境投资集团有限公司
2080155.IB,20遂宁绿色债02,2020/6/24,企业债,遂宁市河东开发建设投资有限公司
152496.SH,G20遂东2,2020/7/1,企业债,遂宁市河东开发建设投资有限公司
163668.SH,G20柳控1,2020/7/2,公司债,广西柳州市投资控股集团有限公司
132000024.IB,20安吉交投GN001,2020/7/6,定向工具,安吉县交通投资发展集团有限公司
167131.SH,G20仙山,2020/7/6,公司债,长兴仙山湖旅游投资开发有限公司
152485.SH,G20公安1,2020/7/10,企业债,公安县城建投资有限公司
2080159.IB,20寿光惠农债,2020/7/10,企业债,寿光市惠农新农村建设投资开发有限公司
X6MB.SG,当代置业 11.5% N20221113,2020/7/14,,当代置业(中国)有限公司
167187.SH,G20惠建1,2020/7/15,公司债,无锡惠山开发建设有限公司
40316.HK,旭辉控股集团 5.95% N20251020,2020/7/21,,旭辉控股(集团)有限公司
167140.SH,G20安吉1,2020/7/27,公司债,安吉县城西北开发有限公司
2080189.IB,20饶城投绿债,2020/7/31,企业债,上饶市城市建设投资开发集团有限公司
132000025.IB,20河南发电GN001,2020/8/4,中期票据,大唐河南发电有限公司
40316X.HK,旭辉控股集团 5.95% N20251020(重开),2020/8/6,,旭辉控股(集团)有限公司
149187.SZ,20穗环G1,2020/8/10,公司债,广州环保投资集团有限公司
152499.SH,G20寿光,2020/8/11,企业债,寿光市惠农新农村建设投资开发有限公司
167361.SH,G20德交2,2020/8/11,公司债,浙江德清交运投资建设有限公司
168672.SH,PRG新2优,2020/8/11,资产支持证券,华电福新能源有限公司
168673.SH,G福新2次,2020/8/11,资产支持证券,华电福新能源有限公司
40343.HK,禹洲集团 7.85% N20260812,2020/8/13,,禹洲集团控股有限公司
2080202.IB,20云水务绿色债01,2020/8/17,企业债,云南水务投资股份有限公司
2080195.IB,20广水投绿色债01,2020/8/18,企业债,广州市水务投资集团有限公司
138955.SZ,20广交02,2020/8/19,资产支持证券,广州市公共交通集团有限公司
138956.SZ,20广交03,2020/8/19,资产支持证券,广州市公共交通集团有限公司
138957.SZ,20广交04,2020/8/19,资产支持证券,广州市公共交通集团有限公司
138958.SZ,20广交05,2020/8/19,资产支持证券,广州市公共交通集团有限公司
152527.SH,G20水投1,2020/8/20,企业债,广州市水务投资集团有限公司
2080209.IB,20广业绿色债01,2020/8/21,企业债,广东省环保集团有限公司
152535.SH,G20云绿1,2020/8/24,企业债,云南水务投资股份有限公司
132000026.IB,20蓉城轨交GN002,2020/8/24,中期票据,成都轨道交通集团有限公司
152543.SH,G20广业1,2020/8/26,企业债,广东省环保集团有限公司
2080205.IB,20常鼎绿色债01,2020/8/26,企业债,常德市鼎城江南新城建设投资开发有限公司
082000586.IB,20华润租赁ABN001优先A3,2020/8/27,资产支持证券,华润融资租赁有限公司
082000587.IB,20华润租赁ABN001次,2020/8/27,资产支持证券,华润融资租赁有限公司
132000027.IB,20陕煤化GN001,2020/8/27,中期票据,陕西煤业化工集团有限责任公司
152536.SH,G20常鼎1,2020/8/28,企业债,常德市鼎城江南新城建设投资开发有限公司
2080220.IB,20饶城投绿债02,2020/8/28,企业债,上饶市城市建设投资开发集团有限公司
2080221.IB,20长交绿色债01,2020/8/28,企业债,长兴交通投资集团有限公司
132000028.IB,20四川机场GN001,2020/8/31,中期票据,四川省机场集团有限公司
152548.SH,G20交通1,2020/9/2,企业债,长兴交通投资集团有限公司
2080245.IB,20武铁绿色可续期债01,2020/9/3,企业债,武汉地铁集团有限公司
114809.SZ,20鼎通G1,2020/9/3,公司债,南通鼎通交通工程有限公司
2080151.IB,20德源绿色债02,2020/9/4,企业债,常德市德源投资集团有限公司
167489.SH,G20潼南1,2020/9/4,公司债,重庆市潼南区城市建设投资(集团)有限公司
167505.SH,G20日照,2020/9/4,公司债,日照市水务集团有限公司
175064.SH,G龙源Y1,2020/9/4,公司债,龙源电力集团股份有限公司
139453.SH,G20武Y1,2020/9/7,企业债,武汉地铁集团有限公司
167485.SH,G20建城1,2020/9/7,公司债,建德市城市建设发展投资有限公司
167533.SH,G20生态2,2020/9/7,公司债,重庆市长寿生态旅业开发集团有限公司
152558.SH,G20德源2,2020/9/8,企业债,常德市德源投资集团有限公司
114816.SZ,20仁寿G1,2020/9/8,公司债,仁寿发展投资集团有限公司
167521.SH,G20苏科1,2020/9/8,公司债,江苏中关村科技产业园控股集团有限公司
RUKBX.SG,当代置业 11.95% N20240304(重开),2020/9/8,,当代置业(中国)有限公司
X6MBX.SG,当代置业 11.5% N20221113(重开),2020/9/8,,当代置业(中国)有限公司
2080216.IB,20建湖绿色债,2020/9/9,企业债,建湖县城市建设投资集团有限公司
167283.SH,G20宁经2,2020/9/9,公司债,宁乡经济技术开发区建设投资有限公司
149220.SZ,20荣盛G2,2020/9/10,公司债,荣盛石化股份有限公司
175114.SH,G20雅砻2,2020/9/15,公司债,雅砻江流域水电开发有限公司
2080246.IB,20宜春创投绿色债,2020/9/16,企业债,宜春市创业投资有限公司
167619.SH,G20虞交1,2020/9/17,公司债,绍兴市上虞区交通集团有限公司
132000029.IB,20沈阳地铁GN002,2020/9/18,中期票据,沈阳地铁集团有限公司
40383.HK,新奥能源 2.625% N20300917,2020/9/18,,新奥能源控股有限公司
2080270.IB,20广州公交绿色债,2020/9/23,企业债,广州市公共交通集团有限公司
167669.SH,G20有轨1,2020/9/23,公司债,苏州高新有轨电车集团有限公司
2080273.IB,20资兴绿色债,2020/9/24,企业债,资兴市成诚投资有限公司
152588.SH,G20资兴1,2020/9/25,企业债,资兴市成诚投资有限公司
166483.SH,G20建湖1,2020/9/25,公司债,建湖县城市建设投资集团有限公司
175173.SH,G20洪轨1,2020/9/25,公司债,南昌轨道交通集团有限公司
139452.SH,G20公交1,2020/9/28,企业债,广州市公共交通集团有限公司
2080282.IB,20黔水绿色债01,2020/9/28,企业债,黔西南州水资源开发投资有限公司
167705.SH,G20新天1,2020/9/30,公司债,如东县新天地投资发展有限公司
2080288.IB,20大冶高新绿色债,2020/10/9,企业债,湖北大冶湖高新技术产业投资有限公司
167707.SH,G20贵开1,2020/10/12,公司债,贵安新区开发投资有限公司
152596.SH,G20冶高,2020/10/15,企业债,湖北大冶湖高新技术产业投资有限公司
149249.SZ,20深铁G4,2020/10/15,公司债,深圳市地铁集团有限公司
2080269.IB,20南京地铁绿色债02,2020/10/19,企业债,南京地铁集团有限公司
132000031.IB,20武汉地铁GN001,2020/10/19,中期票据,武汉地铁集团有限公司
152593.SH,G20黔水1,2020/10/21,企业债,黔西南州水资源开发投资有限公司
167792.SH,G20阿地1,2020/10/22,公司债,阿克苏地区绿色实业开发有限公司
175239.SH,G20柳控2,2020/10/23,公司债,广西柳州市投资控股集团有限公司
132000033.IB,20陕西环保GN001,2020/10/27,中期票据,陕西环保产业集团有限责任公司
132000034.IB,20核风电GN001,2020/10/27,中期票据,中广核风电有限公司
152597.SH,G20宁铁2,2020/10/28,企业债,南京地铁集团有限公司
175271.SH,G20深高1,2020/10/29,公司债,深圳高速公路集团股份有限公司
2080332.IB,20吉安绿色债,2020/11/3,企业债,吉安市城市建设投资开发有限公司
175312.SH,G龙源Y4,2020/11/3,公司债,龙源电力集团股份有限公司
167947.SH,G20建湖2,2020/11/4,公司债,建湖县城市建设投资集团有限公司
167954.SH,G20嵊交1,2020/11/5,公司债,嵊州市交通投资发展集团有限公司
132000035.IB,20青岛水务GN001(蓝债),2020/11/5,中期票据,青岛水务集团有限公司
168774.SH,G西高热2,2020/11/9,资产支持证券,西安高新区热力有限公司
