code,name,ipo_date,type,inst
175795.SH,21海控Y1,2021-05-10,公司债,青岛西海岸新区海洋控股集团有限公司
175797.SH,GC三峡01,2021-03-09,公司债,中国长江三峡集团有限公司
175798.SH,21晶电01,2021-03-11,公司债,晶科电力科技股份有限公司
175800.SH,21公用01,2021-03-12,公司债,上海大众公用事业(集团)股份有限公司
175801.SH,GC华电01,2021-03-11,公司债,中国华电集团有限公司
175802.SH,21东航01,2021-03-18,公司债,中国东方航空股份有限公司
175803.SH,21东航02,2021-03-18,公司债,中国东方航空股份有限公司
175804.SH,21沪资01,2021-03-12,公司债,上海国际集团资产管理有限公司
175805.SH,G21新Y1,2021-03-16,公司债,新天绿色能源股份有限公司
175807.SH,GC华电02,2021-03-11,公司债,中国华电集团有限公司
175808.SH,21住总Y1,2021-03-10,公司债,北京住总集团有限责任公司
175809.SH,21温交01,2021-03-16,公司债,温州市交通发展集团有限公司
175811.SH,21唐租Y2,2021-03-11,公司债,大唐融资租赁有限公司
175812.SH,21宁港01,2021-03-18,公司债,宁波舟山港股份有限公司
175814.SH,21航租03,2021-03-30,公司债,中航国际租赁有限公司
175818.SH,21延长01,2021-03-25,公司债,陕西延长石油(集团)有限责任公司
175819.SH,21延长02,2021-03-25,公司债,陕西延长石油(集团)有限责任公司
175820.SH,21首置01,2021-03-22,公司债,北京首创城市发展集团有限公司
175822.SH,21洋河01,2021-03-22,公司债,江苏洋河集团有限公司
175823.SH,21兰石01,2021-03-22,公司债,兰州兰石集团有限公司
175825.SH,21鲁金01,2021-03-19,公司债,山东省金融资产管理股份有限公司
175826.SH,21伟驰01,2021-03-16,公司债,伟驰控股集团有限公司
175827.SH,21筑城01,2021-03-18,公司债,贵阳市城市建设投资集团有限公司
175828.SH,21科创K1,2021-03-11,公司债,上海科技创业投资(集团)有限公司
175829.SH,21国新01,2021-03-12,公司债,中国国新控股有限责任公司
175830.SH,21诚通K1,2021-03-15,公司债,中国诚通控股集团有限公司
175832.SH,21唐控01,2021-04-16,公司债,唐山金融控股集团股份有限公司
175834.SH,21元禾K1,2021-03-15,公司债,苏州元禾控股股份有限公司
175835.SH,21蓉高K1,2021-03-16,公司债,成都高新投资集团有限公司
175836.SH,21西高科,2021-03-19,公司债,西安高科集团有限公司
175837.SH,21珠投03,2021-03-17,公司债,广东珠江投资股份有限公司
175838.SH,21通城01,2021-03-18,公司债,南通城市建设集团有限公司
175839.SH,21厦资01,2021-07-27,公司债,厦门资产管理有限公司
175840.SH,21南网01,2021-03-22,公司债,中国南方电网有限责任公司
175841.SH,21济城G2,2021-03-19,公司债,济南城市投资集团有限公司
175842.SH,GC凯盛01,2021-08-19,公司债,凯盛科技集团有限公司
175843.SH,21吴开01,2021-03-25,公司债,苏州市吴江经济技术开发区发展集团有限公司
175844.SH,21恒信G1,2021-04-30,公司债,海通恒信国际融资租赁股份有限公司
175845.SH,21SIIC01,2021-03-18,公司债,上海实业环境控股有限公司
175846.SH,21天易02,2021-03-17,公司债,湖南天易集团有限公司
175848.SH,21特房01,2021-03-19,公司债,厦门经济特区房地产开发集团有限公司
175850.SH,21住宅01,2021-03-18,公司债,厦门住宅建设集团有限公司
175852.SH,21交投G2,2021-03-23,公司债,中交投资有限公司
175854.SH,21川电03,2021-03-18,公司债,四川省水电投资经营集团有限公司
175855.SH,21漳九02,2021-03-26,公司债,漳州市九龙江集团有限公司
175858.SH,21保利03,2021-03-19,公司债,保利发展控股集团股份有限公司
175859.SH,21保利04,2021-03-19,公司债,保利发展控股集团股份有限公司
175860.SH,21英大01,2021-03-25,公司债,国网英大国际控股集团有限公司
175861.SH,甬交投03,2021-03-24,公司债,宁波交通投资控股有限公司
175862.SH,21长集01,2021-03-29,公司债,浙江长兴金融控股集团有限公司
175863.SH,21翔业01,2021-03-24,公司债,厦门翔业集团有限公司
175864.SH,21国丰Y1,2021-03-25,公司债,烟台国丰投资控股集团有限公司
175865.SH,21国丰Y2,2021-03-25,公司债,烟台国丰投资控股集团有限公司
175866.SH,21抚州02,2021-03-25,公司债,抚州市市属国有资产投资控股集团有限公司
175869.SH,21弘辉01,2021-03-25,公司债,常州弘辉控股集团有限公司
175870.SH,21弘辉02,2021-03-25,公司债,常州弘辉控股集团有限公司
175872.SH,21出版01,2021-03-25,公司债,安徽出版集团有限责任公司
175873.SH,21星发01,2021-03-22,公司债,长沙县星城发展集团有限公司
175875.SH,21湖州02,2021-03-25,公司债,湖州市城市投资发展集团有限公司
175876.SH,21渝隆01,2021-03-26,公司债,重庆渝隆资产经营(集团)有限公司
175877.SH,21智光G1,2021-09-28,公司债,泰兴市智光环保科技有限公司
175878.SH,21建发Y1,2021-04-01,公司债,厦门建发股份有限公司
175880.SH,21甬投01,2021-03-25,公司债,宁波开发投资集团有限公司
175881.SH,21中希01,2021-03-25,公司债,中国希格玛有限公司
175882.SH,21实业01,2021-03-26,公司债,新疆广汇实业投资(集团)有限责任公司
175883.SH,GC天成02,2021-03-30,公司债,华能天成融资租赁有限公司
175884.SH,21武金01,2021-03-26,公司债,武汉金融控股(集团)有限公司
175885.SH,21象屿02,2021-03-26,公司债,厦门象屿股份有限公司
175886.SH,21长发01,2021-03-30,公司债,长沙城市发展集团有限公司
175887.SH,21长发02,2021-03-30,公司债,长沙城市发展集团有限公司
175888.SH,21信地03,2021-03-31,公司债,信达地产股份有限公司
175889.SH,21信地04,2021-03-31,公司债,信达地产股份有限公司
175890.SH,21延长03,2021-03-30,公司债,陕西延长石油(集团)有限责任公司
175892.SH,21诚通01,2021-03-26,公司债,中国诚通控股集团有限公司
175895.SH,21世控02,2021-04-02,公司债,上海世博土地控股有限公司
175896.SH,21鲁高Y1,2021-05-11,公司债,山东高速集团有限公司
175898.SH,21君创债,2021-04-02,公司债,君创国际融资租赁有限公司
175899.SH,21轻盐01,2021-03-30,公司债,湖南省轻工盐业集团有限公司
175900.SH,21远发01,2021-04-01,公司债,中远海运发展股份有限公司
175901.SH,21安租Y1,2021-04-14,公司债,平安国际融资租赁有限公司
175903.SH,21绿城03,2021-03-29,公司债,绿城房地产集团有限公司
175907.SH,21首置03,2021-04-07,公司债,北京首创城市发展集团有限公司
175909.SH,21GLP05,2021-04-06,公司债,普洛斯中国控股有限公司
175911.SH,21镇投G2,2021-04-27,公司债,镇江国有投资控股集团有限公司
175913.SH,21唐新Y2,2021-04-19,公司债,中国大唐集团新能源股份有限公司
175914.SH,21东方01,2021-04-02,公司债,浙江东方金融控股集团股份有限公司
175917.SH,21大宁01,2021-04-12,公司债,上海大宁资产经营(集团)有限公司
175918.SH,21甬城01,2021-04-02,公司债,宁波城建投资控股有限公司
175919.SH,21能投01,2021-04-12,公司债,云南省能源投资集团有限公司
175920.SH,21苏新01,2021-04-08,公司债,苏州新区高新技术产业股份有限公司
175921.SH,21宁开控,2021-04-07,公司债,宁波经济技术开发区控股有限公司
175922.SH,21汽车01,2021-04-02,公司债,广汇汽车服务集团股份公司
175923.SH,21浦土01,2021-04-15,公司债,上海浦东土地控股(集团)有限公司
175924.SH,21龙川G1,2021-04-06,公司债,扬州龙川控股集团有限责任公司
175926.SH,21深钜02,2021-04-02,公司债,深圳市钜盛华股份有限公司
175927.SH,21珠投04,2021-04-01,公司债,广东珠江投资股份有限公司
175928.SH,21安租03,2021-04-19,公司债,平安国际融资租赁有限公司
175930.SH,21焦煤01,2021-04-22,公司债,山西焦煤集团有限责任公司
175931.SH,21人居债,2021-04-09,公司债,成都兴城人居地产投资集团股份有限公司
175932.SH,21唐租03,2021-08-19,公司债,大唐融资租赁有限公司
175933.SH,21华远02,2021-04-02,公司债,华远地产股份有限公司
175934.SH,21番雅01,2021-04-16,公司债,广州番禺雅居乐房地产开发有限公司
175935.SH,GC机场01,2021-04-12,公司债,首都机场集团有限公司
175936.SH,21大丰01,2021-04-08,公司债,江苏大丰海港控股集团有限公司
175937.SH,21乌房01,2021-04-27,公司债,乌鲁木齐房地产开发(集团)有限公司
175938.SH,21奉通01,2021-04-12,公司债,上海奉贤交通能源(集团)有限公司
175939.SH,21临债01,2021-04-20,公司债,上海临港控股股份有限公司
175940.SH,21临债02,2021-04-20,公司债,上海临港控股股份有限公司
175941.SH,21吉盐01,2021-04-09,公司债,中盐吉兰泰盐化集团有限公司
175943.SH,21京投Y1,2021-04-16,公司债,北京市基础设施投资有限公司
175944.SH,21交房01,2021-04-12,公司债,中交房地产集团有限公司
175945.SH,21金地03,2021-04-13,公司债,金地(集团)股份有限公司
175946.SH,21金地04,2021-04-13,公司债,金地(集团)股份有限公司
175947.SH,21复地01,2021-04-09,公司债,复地(集团)股份有限公司
175948.SH,21南方01,2021-04-20,公司债,南方水泥有限公司
175949.SH,21南方02,2021-04-20,公司债,南方水泥有限公司
175950.SH,21凤凰01,2021-04-16,公司债,江苏凤凰出版传媒集团有限公司
175951.SH,GC雅砻01,2021-04-16,公司债,雅砻江流域水电开发有限公司
175952.SH,21舟交01,2021-04-15,公司债,舟山交通投资集团有限公司
175953.SH,21诚通03,2021-04-15,公司债,中国诚通控股集团有限公司
175954.SH,21诚通04,2021-04-15,公司债,中国诚通控股集团有限公司
175957.SH,21龙盛03,2021-04-27,公司债,浙江龙盛集团股份有限公司
175958.SH,21恒健01,2021-04-14,公司债,广东恒健投资控股有限公司
175959.SH,21恒健02,2021-04-14,公司债,广东恒健投资控股有限公司
175960.SH,21首农Y1,2021-04-19,公司债,北京首农食品集团有限公司
175961.SH,21国联G1,2021-04-20,公司债,无锡市国联发展(集团)有限公司
175962.SH,21中化Y3,2021-04-16,公司债,中国中化股份有限公司
175963.SH,21中化Y4,2021-04-16,公司债,中国中化股份有限公司
175964.SH,21葛洲Y1,2021-04-14,公司债,中国葛洲坝集团股份有限公司
175965.SH,21国投01,2021-04-15,公司债,国家开发投资集团有限公司
175966.SH,21国投02,2021-04-15,公司债,国家开发投资集团有限公司
175967.SH,21厦贸Y1,2021-08-27,公司债,厦门国贸集团股份有限公司
175969.SH,21新师02,2021-04-15,公司债,新疆生产建设兵团第十二师国有资产经营(集团)有限责任公司
