code,name,ipo_date,type,inst,codes,url,title,date,url1,filename,id,CNum,WNum0,WNum1,WNum2,SNum,Eco,Eco1,Policy,Policy1,VecLen,isGreen,Heter90,DocNum90,Info90,Stdd90
188492.SH,21三福01,2021-08-09,公司债,泰州三福重工集团有限公司,188492,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=188492&announcementId=1210635205&orgId=9900031292&announcementTime=2021-07-30,21三福01 : 泰州三福重工集团有限公司2021年面向专业投资者公开发行公司债券（第一期）募集说明书,2021-07-30,http://static.cninfo.com.cn/finalpage/2021-07-30/1210635205.pdf,[188492.SH]21三福01 : 泰州三福重工集团有限公司2021年面向专业投资者公开发行公司债券（第一期）募集说明书.pdf,4544,179435,80952,44734,4316,1375,0.7149611384026385,2.2601997278535024,3.1135404414308447,9.64044373717106,332,False,1.3039544617197802,356,0.25374982919785294,0.8125475325037654
188500.SH,21吉保02,2021-08-09,公司债,吉林省信用融资担保投资集团有限公司,188500,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=188500&announcementId=1210611719&orgId=fzqy1062649&announcementTime=2021-07-30,21吉保02 : 吉林省信用融资担保投资集团有限公司2021年公开发行公司债券（面向专业投资者）（第二期）募集说明书,2021-07-30,http://static.cninfo.com.cn/finalpage/2021-07-30/1210611719.pdf,[188500.SH]21吉保02 : 吉林省信用融资担保投资集团有限公司2021年公开发行公司债券（面向专业投资者）（第二期）募集说明书.pdf,4549,186161,89338,52629,4380,1784,0.4326875798996952,1.2980627396990854,3.2844920837840497,13.452650211426889,309,False,0.6860644709606569,356,0.2828534061840414,0.8370188811668403
188501.SH,21鲁高03,2021-08-09,公司债,山东高速集团有限公司,188501,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=188501&announcementId=1210635212&orgId=9900002041&announcementTime=2021-07-30,21鲁高03 : 山东高速集团有限公司公开发行2021年公司债券（面向专业投资者）（第三期）募集说明书,2021-07-30,http://static.cninfo.com.cn/finalpage/2021-07-30/1210635212.pdf,[188501.SH]21鲁高03 : 山东高速集团有限公司公开发行2021年公司债券（面向专业投资者）（第三期）募集说明书.pdf,4550,256881,116516,62362,5848,1611,1.0699412355352174,2.386791986963177,3.753024641569686,15.16024427581439,320,False,1.3315562452366458,356,0.22274119971254877,0.7402411423380193
188503.SH,21中铁03,2021-08-09,公司债,中国铁建房地产集团有限公司,188503,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=188503&announcementId=1210635182&orgId=9900031234&announcementTime=2021-07-30,21中铁03 : 中国铁建房地产集团有限公司2021年面向专业投资者公开发行公司债券（第三期）募集说明书,2021-07-30,http://static.cninfo.com.cn/finalpage/2021-07-30/1210635182.pdf,[188503.SH]21中铁03 : 中国铁建房地产集团有限公司2021年面向专业投资者公开发行公司债券（第三期）募集说明书.pdf,4552,207788,94063,48206,4406,1192,0.7019185774450163,1.9143233930318628,3.360701067767048,10.2097247628366,314,False,0.21476776061352496,356,0.2734104607643079,0.7382662134092937
152923.SH,21远安02,2021-07-07,企业债,远安县栖凤城市建设投资开发有限公司,152923,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152923&announcementId=1210638943&orgId=9900032894&announcementTime=2021-08-02,21远安02 : 2021年第二期远安县栖凤城市建设投资开发有限公司公司债券募集说明书,2021-08-02,http://static.cninfo.com.cn/finalpage/2021-08-02/1210638943.pdf,[152923.SH]21远安02 : 2021年第二期远安县栖凤城市建设投资开发有限公司公司债券募集说明书.pdf,1217,139114,62204,29613,3366,783,1.352757544224766,2.9830038154699965,8.810267082899756,22.684703433922994,301,False,-1.1371984769950574,369,0.2725719555327323,0.6093876949288017
152940.SH,21东津02,2021-07-12,企业债,襄阳东津国有资本投资集团有限公司,152940,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=152940&announcementId=1210639103&orgId=fzqy1056064&announcementTime=2021-08-02,21东津02 : 2021年襄阳东津国有资本投资集团有限公司公司债券（第一期）募集说明书,2021-08-02,http://static.cninfo.com.cn/finalpage/2021-08-02/1210639103.pdf,[152940.SH]21东津02 : 2021年襄阳东津国有资本投资集团有限公司公司债券（第一期）募集说明书.pdf,1229,114673,55331,31388,3626,996,0.9871018689128718,3.0271123979994736,7.370360621216109,22.50592261121348,330,False,1.304069550610605,369,0.23872184881814426,0.7778658511917192
188436.SH,21松国01,2021-08-10,公司债,上海松江国有资产投资经营管理集团有限公司,188436,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=188436&announcementId=1210645099&orgId=fzqy1062673&announcementTime=2021-08-02,21松国01 : 上海松江国有资产投资经营管理集团有限公司2021年面向专业投资者公开发行创新创业公司债券（第一期）募集说明书,2021-08-02,http://static.cninfo.com.cn/finalpage/2021-08-02/1210645099.pdf,[188436.SH]21松国01 : 上海松江国有资产投资经营管理集团有限公司2021年面向专业投资者公开发行创新创业公司债券（第一期）募集说明书.pdf,4504,180267,81585,46119,4543,1332,1.8532163350972384,5.247058298166879,7.79243977046911,21.725054145176056,313,False,1.7266153363719556,369,0.21260230183138165,0.8503774373702679
188464.SH,21抚州04,2021-08-10,公司债,抚州市市属国有资产投资控股集团有限公司,188464,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=188464&announcementId=1210645102&orgId=9900018927&announcementTime=2021-08-02,21抚州04 : 抚州市投资发展（集团）有限公司2021年公开发行公司债券（第二期）募集说明书,2021-08-02,http://static.cninfo.com.cn/finalpage/2021-08-02/1210645102.pdf,[188464.SH]21抚州04 : 抚州市投资发展（集团）有限公司2021年公开发行公司债券（第二期）募集说明书.pdf,4526,188660,88055,47483,4646,1266,1.1467641776835362,3.3104701733128503,9.563580500681567,22.567453534413744,326,False,2.2327989071765404,369,0.2016140204386453,0.8627894473532607
188502.SH,21宁铁14,2021-08-10,公司债,南京地铁集团有限公司,188502,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=188502&announcementId=1210645118&orgId=9900030688&announcementTime=2021-08-02,21宁铁14 : 南京地铁集团有限公司2021年公开发行公司债券（第二期）募集说明书,2021-08-02,http://static.cninfo.com.cn/finalpage/2021-08-02/1210645118.pdf,[188502.SH]21宁铁14 : 南京地铁集团有限公司2021年公开发行公司债券（第二期）募集说明书.pdf,4551,186355,86404,46676,4384,1505,0.6862810210090545,1.7931858936043037,5.645214850235771,17.86544464368732,312,False,1.9674416095707516,369,0.20510348556741492,0.8679897065427249
188507.SH,21新汶Y1,2021-08-10,公司债,新汶矿业集团有限责任公司,188507,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=188507&announcementId=1210637541&orgId=fzqy1030324&announcementTime=2021-08-02,21新汶Y1 : 新汶矿业集团有限责任公司2021年公开发行可续期公司债券（第一期）募集说明书,2021-08-02,http://static.cninfo.com.cn/finalpage/2021-08-02/1210637541.pdf,[188507.SH]21新汶Y1 : 新汶矿业集团有限责任公司2021年公开发行可续期公司债券（第一期）募集说明书.pdf,4554,238588,113473,64518,5690,1993,9.596161535385846,11.00359856057577,3.2147141143542584,13.930427828868453,333,False,2.04861271579682,369,0.18230100978648817,0.7920584267465169
